Best Acc	Trainning Loss	Valid Loss	Train Acc	Valid Acc	
0.000000	1.075133	0.765224	66.735535	76.284205	
76.284205	0.658082	0.649056	78.999406	77.700431	
77.700431	0.542934	0.563248	81.729630	80.388861	
80.388861	0.472648	0.530575	84.400822	81.156984	
81.156984	0.423276	0.494900	85.404365	82.381180	
82.381180	0.387373	0.472303	86.614518	83.485356	
83.485356	0.362944	0.470557	87.263869	83.077291	
83.485356	0.327631	0.461287	88.518297	83.917426	
83.917426	0.299192	0.450275	89.610387	84.325491	
84.325491	0.280361	0.445776	90.451591	84.709552	
84.709552	0.276060	0.448093	90.599171	84.469514	
84.709552	0.256874	0.428440	90.820540	85.285644	
85.285644	0.248298	0.439305	91.351827	85.165625	
85.285644	0.230146	0.424551	91.676503	86.029763	
86.029763	0.212347	0.471535	92.473433	85.117617	
86.029763	0.219019	0.447699	92.030694	85.765721	
86.029763	0.197431	0.478101	93.048994	85.381660	
86.029763	0.189171	0.457653	93.211332	85.621698	
86.029763	0.182099	0.457726	93.388428	86.389821	
86.389821	0.176956	0.467299	93.521250	86.293805	
86.389821	0.173185	0.486122	93.757377	85.813729	
86.389821	0.161079	0.488186	94.244390	85.381660	
86.389821	0.157697	0.492625	94.480518	86.101775	
86.389821	0.153107	0.480058	94.672371	85.933748	
86.389821	0.154337	0.492344	94.583824	85.813729	
86.389821	0.132307	0.516900	95.203659	85.693710	
86.389821	0.144813	0.489216	95.159385	86.005759	
86.389821	0.136763	0.497322	95.277448	86.053767	
86.389821	0.127696	0.491179	95.262690	86.125779	
86.389821	0.128777	0.506788	95.513576	85.549687	
86.389821	0.124562	0.470437	95.616882	86.149782	
86.389821	0.120207	0.463367	95.897283	86.893901	
86.893901	0.118892	0.512098	95.661156	85.837733	
86.893901	0.118839	0.495810	95.764462	86.653863	
86.893901	0.111689	0.514537	96.000589	85.693709	
86.893901	0.114345	0.539146	96.044863	85.813729	
86.893901	0.100595	0.533300	96.620424	86.173786	
86.893901	0.096734	0.545138	96.782762	85.573691	
86.893901	0.097874	0.516937	96.502360	86.317809	
86.893901	0.095115	0.510812	96.576150	85.957752	
86.893901	0.101967	0.529921	96.472844	86.125779	
86.893901	0.092395	0.529433	96.649940	85.741717	
86.893901	0.094858	0.535066	96.649940	85.957752	
86.893901	0.099542	0.501243	96.310507	86.557848	
86.893901	0.096310	0.525054	96.738488	86.389821	
86.893901	0.090212	0.506719	96.886068	86.773882	
86.893901	0.101587	0.523040	96.531876	86.485836	
86.893901	0.094003	0.527474	96.679456	85.789725	
86.893901	0.086652	0.555591	97.004131	85.477675	
86.893901	0.093106	0.541561	96.590908	86.053767	
86.893901	0.082834	0.539417	97.151711	85.549686	
86.893901	0.089851	0.556065	96.620424	85.357656	
86.893901	0.084727	0.547603	97.107437	86.245798	
86.893901	0.081274	0.551206	97.122195	85.837732	
86.893901	0.082689	0.549443	96.974615	86.677867	
86.893901	0.079052	0.551776	97.225501	86.245798	
86.893901	0.077009	0.572947	97.432113	86.365817	
86.893901	0.078484	0.541229	97.092679	86.701871	
86.893901	0.083395	0.575511	96.945099	86.413825	
86.893901	0.073628	0.572060	97.387839	86.221794	
86.893901	0.070915	0.556357	97.535418	85.837733	
